1216
a big cheese	(slang) เป็นสำนวนแปลว่า คนที่สำคัญมาก
last-minute	(adj adv) เพียงช่วงเวลาสั้นๆ ก่อนการเกิดเหตุการณ์ที่อ้างถึง ปัจจุบันพบคำนี้บ่อยในวงการการท่องเที่ยว เช่น last-minute trip หรือ last-minute flight, Related: R. last minute 
laundry soap	(n phrase) ผงซักฟอก เช่น I  live in Canada and would like to import the white bar laundry soap from Peru here. I have used it and it is very good., Related: S.detergent, laundry detergent 
law-abidingness	(n) ความเคารพกฏหมาย, Related: law-abiding (adj.) 
LCM	(abbrev) คูณร่วมน้อย (ค.ร.น.), Related: S.lowest common multiple 
lease agreement	(n) สัญญาเช่า เช่น This commercial lease agreement template is a legal contract used for real estate rental.
leave of abscence	การได้รับอนุญาตให้ไม่อยู่ในที่ทำงาน เช่น I'm thinking about taking a one-month leave of abscence from residency. It would be my last month this year. I am scheduled for geriatrics. , Related: S. permission to be absent , 
legendary	ซึ่งเป็นตำนาน
lemmatize	(vi) ทำให้คำอยู่ในรูปปกติ หรือที่เรียกว่า Lemma เช่น คำว่า go คือ lemmatized form ของ going, went, gone
leotard	(n) ชุดรัดรูปที่เป็นชิ้นเดียวยาวตั้งแต่คอ คลุมลำตัว แต่ไม่มีส่วนปกคลุมขา  นักกายกรรมและนักเล่นยิมนาสติกมักใส่ชุดประเภทนี้
less then	(adj.) น้อยกว่า, ต่ำกว่า
leviticus	(n) หนังสือเลวีนิติ หนังสือเล่มที่ 3 ของพระคริสต์ธรรมคัมภีร์(พันธสัญญาเก่า), Related: R. The Old Testament 
lie on	(vi vt) นอนเหยียดยาวบน
lighten up	(vt) บรรเทา, ทำให้เบาลง เช่น I've been told to lighten up all my life, by many different people., If you don't allow backpacks with wheels, then you have to find some way to lighten up the backpacks. You have to require less text books to be taken home., Related: S. Relax, keep the current situation in perspective, 
Linux.Thai.Net	(n) ชื่อเว็บไซต์สำหรับคนไทยเล่น Linux
lipid	(n) สารอินทรีย์จำพวกไขมัน
liquid capital	(n) สังหาริมทรัพย์, ทรัพย์สินที่พร้อมจะเปลี่ยนรูปได้ทันที เช่น เงิน เป็นต้น, Related: S. fluid capital, movable property,A. fixed capital, 
little cormorant	(n name uniq ) นกกาน้ำเล็ก
live stock	(n) สัตว์เศรษฐกิจ, สัตว์ที่เลี้ยงไว้เพื่อการบริโภค เช่น Removal of live stock from slaughter buying stations., Related: S.livestock 
loafer	(n) รองเท้าส้นเตี้ยไม่มีเชือกผูก ส่วนใหญ่ทำจากหนัง
Loi Krathong	(n) เทศกาลลอยกระทงของไทยในเดือนพฤศจิกายน โดยจะลอยกระทง (banana-leaf cup) ไปตามน้ำ
Lok Sabha	(uniq) โลกสภา ชื่อเรียกสภาผู้แทนราษฎรของอินเดีย ส่วนวุฒิสภาของอินเดียนั้น เรียกว่า ราชย์สภา (Rajya Sabha)
LOL	(phrase slang) ย่อมาจาก Laughing Out Loud หมายถึง กำลังหัวเราะอย่างดัง, เป็นศัพท์แสลงยุคอินเทอร์เน็ต 
lollygag	(vi) เอ้อระเหย, อ้อยอิ่ง เช่น We know you might lollygag on your lunch hour., Related: S. idly pass time, 
long weekend	(n) วันหยุดยาวที่ต่อเนื่องจากวันเสาร์และอาทิตย์
longdo	(n) ชื่อของบริการนี้ มาจากภาษาไทยว่า ลองดู มาจากแนวคิดที่ว่า แนวคิดนี้อาจจะดีหรือไม่ดี ประสบความสำเร็จหรือล้มเหลว ก็ไม่แน่ ลองดูเลยดีกว่า
look forward to seeing you soon	(phrase) ตั้งตารอคอยที่จะพบกัน
loser	(n) คนขี้แพ้, คนไม่เอาถ่าน, คนไม่เอาไหน, คนไม่ได้เรื่อง เช่น Are you a loser?! Take this quiz and find out.
lovely	(adj) น่ารัก
lower abdomen	(n) ท้องน้อย
lowest common multiple	(n) คูณร่วมน้อย (ค.ร.น.), Related: S.least common multiple, smallest common multiple,lcm 
loyal subject	(n) ผู้อยู้ใต้บังคับบัญชาที่จงรักภักดี หรือ ผู้จงรักภักดี เช่น The Queen was recently treated to more than just a smile from a loyal subject.
LTG	(abbrev ) พลโท, พล.ท., Related: S. Lieutenant General,  
mace	(n) สเปรย์พริก เช่น Our web site offers statistics and tips for personal safety and information about personal safety devices that contain pepper spray and mace., Related: R. pepper spray 
made for each other	เหมาะสมกันอย่างยิ่ง เช่น a couple who are just made for each other
magnesium	(n) ธาตุแม็กนีเซียม
magnetic resonance imaging	(n phrase) การสร้างภาพด้วยการเกิดเรโซแนนซ์แม่เหล็ก ย่อด้วย MRI
main outcome measure	(n phrase) ตัววัดผลหลัก เช่น The main outcome measure was the Health Assessment Questionnaire (HAQ).
maladjusted	(adj) ปรับตัวได้ยาก เช่น Socially Maladjusted Children in the Classroom., Younger (7-8 years) and older (10-11 years) boys from normal schools and from schools for the maladjusted were given two tests to assess their knowledge of strategies of control for both facial and overt behavioural expression of a negative emotion.  
malfeasance	(n) การประพฤติผิดต่อหน้าที่ โดยเฉพาะที่กระทำโดยข้าราชการ, Related: S. corruption, 
mantra	(n) บทสวดมนต์
many more	(phrase) อื่นๆ อีกมากมาย
marathon	(n vt) การวิ่งแข่งมาราธอน (วิ่งนาน ต้องใช้ความอดทน)
Mardi Gras	(n) |มาจากภาษาฝรั่งเศส|วันอังคารก่อนวัน Ash Wednesday, วันฉลองก่อนวันถือบวชในศาสนาคริสต์ (หรือเรียกว่า Shrove Tuesday), วันสุดท้ายของเทศกาลคาร์นิวาลในอเมริกา โดยเฉพาะที่เมือง New Orleans, Related: S. Fat Tuesday, 
market segment	ส่วนตลาด
matter of life and death	(phrase) เรื่องคอขาดบาดตาย
mature	(adj) ที่มีวุฒิภาวะ เช่น This 14 week part-time preparation program has been specifically designed for mature aged students who want to enter University.
maui wowie	(n slang) กัญชา, Related: S. Marijuana from Hawaii, 
may	ขอให้ เช่น May the best team win. ขอให้ทีมที่เก่งที่สุดชนะ
meal	(n) กาก เช่น peanut meal หรือ soybean meal หมายถึงกากถั่วลิสงที่คั้นเอาน้ำมันออกแล้ว เหลือส่วนที่เป็นผงค่อนข้างหยาบ ใช้ประโยชน์อย่างอื่นอีกมาก เช่นเป็นอาหารสัตว์ สกัดเป็นกาว ทำกระดาษกาว (gummed paper) หรือเทปกาว (gummed tape) 
mechanic	(n) ช่างยนต์, ช่างซ่อมรถยนต์, ช่าง, ช่างเครื่อง, ช่างกล, Related: S. mechanical engineer 
mechanical engineer	(n) วิศวกรเครื่องกล 
mechanical engineering	(n) วิศวกรรมเครื่องกล 
medical certificate	(n) ใบรับรองแพทย์
meerkat	(n) สัตว์เลี้ยงลูกด้วยนมชนิดหนึ่งอยู่ตระกูลเดียวกับพังพอน มีหางยาว และอยู่เป็นฝูงตามแถบทะเลทรายในแอฟริกาใต้, Related: R. mongoose 
member	(vt) สมาชิก
Memorandum of Association	(n) หนังสือบริคณห์สนธิ
memory lapse	(n phrase) อาการหลงๆลืมๆ, ความจำเสื่อม เช่น Do you worry that, as you're getting older, these memory lapses are happening more often? 
memory stick	(n) อุปกรณ์เก็บข้อมูลประเภท flash memory ชนิดหนึ่ง ได้รับการพัฒนาโดยบริษัท SONY และใช้กับผลิตภัณฑ์ต่างๆของ SONY มีขนาดเล็กประมาณเท่าแผ่นหมากฝรั่งmagic gate memory stick คือ memory stick ที่มีหมายเลขรหัสประจำในแต่ละแผ่น เพื่อให้สามารถควบคุมการทำสำเนาข้อมูลที่มีลิขสิทธิ์ (เช่น ข้อมูลเพลง หรือภาพ) ได้ คือ ข้อมูลที่บันทึกจะนำมาใช้ได้เมื่ออ่านจากแผ่นที่มีหมายเลขที่กำหนดเท่านั้น และจะใช้ไม่ได้เมื่อทำสำเนาข้อมูลนั้นไปยังแผ่นหรืออุปกรณ์เก็บข้อมูลอื่น, Related: flash memory 
mentation	(n) การคิด, กระบวนการคิด, Related: S. thinking, 
mercerize	(vt) ใส่ด่างลงไปในสิ่งทอ เช่น ฝ้าย เพื่อเพิ่มความคงทน ความเป็นเงามัน และการติดสีย้อมได้ดีขึ้น
methodology	(n) ระเบียบวิธี, วิธีวิทยา
metta	(n) เมตตา (จากหลักศาสนาพุทธ)
MFC	(name) ย่อมาจากคำว่า Microsoft Foundation Classesเป็นชื่อของชุดโปรแกรมพื้นฐานชุดหนึ่ง ประกอบด้วย class ของการเขียนโปรแกรมเชิงวัตถุ สำหรับใช้เพื่อพัฒนาโปรแกรมประยุกต์บนระบบปฏิบัติการ Windows , Related: ATL WTL 
MG	(abbrev ) พลตรี, พล.ต., Related: S. Major General,  
midrash	(n) หนังสืออธิบายหนังสือเบญจบรรณ(คัมภีร์ห้าเล่มแรกของชาวยิว) ซึ่งประกอบด้วยสองส่วนคือ Halakhah ซึ่งเป็นหนังสืออธิบายหนังสือเบญจบรรณที่เกี่ยวกับธรรมบัญญัติ และ Aggadah ซึ่งเป็นหนังสืออธิบายหนังสือเบญจบรรณในส่วนที่ไม่เกี่ยวกับธรรมบัญญัติ, Related: S. Exegesis, R. Talmud, Mikra, Masorah 
military police	(n) สารวัตรทหาร อักษรย่อคือ สห.
millennium	(n) สหัสวรรษ, ช่วงเวลาหนึ่งพันปี
milling	(adj) (คน) จำนวนมหาศาล เช่น Do you imply that in the dark, amid yelling, bottle throwing and insults, while faced with thousands of milling people, the police could sort out the four groups and could then apply the appropriate kinds of restraint? You must be dreaming., When he was 24 and 25 so many songs came to him that he began to write everywhere-in cars, trains, and in backstage rooms with milling people. 
mineral oil	(n phrase) ขี้ผึ้งหรือแวกซ์เหลวที่เหลือจากการกลั่นผลิตภัณฑ์ปิโตรเลียม
Ministry of Defense	(n) กระทรวงกลาโหม
MMC	[M-M-C] (abbrev uniq) ย่อมาจาก Multimedia Card อุปกรณ์เก็บข้อมูลประเภท flash memory ชนิดหนึ่งลักษณะคล้าย SD (Secure Digital) แต่บางกว่าเล็กน้อย นิยมใช้กับ PDA กล้อง Digital MP3 Player , Related: flash memory, SD, CF, SM, MS, Digital Film 
MOA	(abb) หนังสือบริคณห์สนธิ ย่อมาจาก Memorandum of Association 
mockery	(n) การลบหลู่ เช่น He is making a mockery of both the law that protects service providers and basic common sense.; Dishonesty is making a mockery of the industry more than incompetence is.
modern	(adj) ทันสมัย
modernization	(n) การทำให้ทันสมัย
monkey wrench	(n) กุญแจเลื่อนแบบหมุนปรับความกว้างของปากคีบได้
monocoqe	(n) ตัวถังแบบไร้โครง เช่น The frame is aluminium monocoqe. Kawasaki is alone as the manufacturer of the first series produced frame of this type according to Kawasaki Magazine.
moon	(n) แข, พระจันทร์
morning	(n.) ตอนเช้า
morning glory	(n) ผักบุ้ง
morning sickness	(n) อาการแพ้ท้อง เช่น You're delighted to be pregnant, but morning sickness, heartburn, fatigue and other early-pregnancy symptoms are making your condition less than fun.
motion	(n) คำร้องต่อศาล
mousepad	(n) แผ่นรองเมาส์ (ใช้กับเครื่องคอมพิวเตอร์), Related: S. mouse pad, 
moviegoer	(n) ผู้ที่ชื่นชอบภาพยนตร์, คอหนัง
mozilla	(n) เว็บเบราเซอร์ที่เป็นโอเพ่นซอร์สตัวหนึ่ง รายละเอียดอ่านได้จาก <A HREF=http://www.mozilla.org>www.mozilla.org</A>
MRI	(n abbrev) ระบบสร้างภาพจากการสั่นพ้องของคลื่นสนามแม่เหล็ก  (Magnetic Resonance Imaging)
MSL	(n) ความสูงเฉลี่ยของระดับน้ำทะเล ย่อมาจาก mean sea level 
mtec	(org) ศูนย์เทคโนโลยีโลหะและวัสดุแห่งชาติNational Metal and Materials Technology Center
mugger	(n) นักจี้ปล้น, นักขู่กรรโชกทรัพย์ เช่น A mugger armed with a knife had to flee empty handed after his intended victim fought. 
mulch	(n) วัสดุคลุมดิน
multi-functional	(adj) อเนกประสงค์
multilateral	(adj) พหุภาคี เช่น The Multilateral Initiative on Malaria (MIM) is an international collaboration and co-operation in scientific research against malaria. 
mung bean	(n) ถั่วเขียว (ถั่วชนิดหนึ่งที่เมล็ดมีสีเขียวนำมาเพาะเป็นถั่วงอก), Related: S. mungbean, R. green bean 
muscle-flexing	(n) การเบ่งกล้าม, การอวดกล้ามเป็นมัดๆ, การเบ่งอำนาจ เช่น I hope that when the muscle flexing and cheering is over they will go on a retreat, and reflect on how they should bear this awesome responsibility.; I love muscle flexing, wrestling, swapping muscle pictures.
musical ensemble	(n) กลุ่มของนักดนตรีตั้งแต่ 2 คนขึ้นไป, Related: S. orchestra, band, 
myositis	(n) อาการกล้ามเนื้ออักเสบเรื้อรัง
mythology	(n) เทวตำนาน เช่น a collection of sites related to mythology and sorted by origin, including Greek, Egyptian, and Celtic myths
nag	(vi n) เหน็บแนม, ชอบวิพากษ์วิจารณ์สิ่งเล็กๆน้อยๆในแง่ลบ, คนที่ชอบป่วนรบกวนคนอื่น
naggy	(adj) ซึ่งชอบเหน็บแนม, ขี้บ่น, Related: S. long winded, 
nanotec	(org) ศูนย์นาโนเทคโนโลยีแห่งชาติNational Nanotechnology Center
narcolepsy	(n) ชื่อโรคชนิดหนึ่ง อาการของโรคคือผู้ป่วยไม่สามารถควบคุมการหลับได้ในแต่ละวันผู้ป่วยอาจจะรู้สึกง่วงมากจนต้องหลับไปอย่างกระทันหันได้หลายๆครั้งข้อมูลเพิ่มเติมhttp://www.ninds.nih.gov/disorders/narcolepsy/narcolepsy.htmhttp://med.stanford.edu/school/Psychiatry/narcolepsy/
National Children's Day	(n) วันเด็กแห่งชาติ
national guard service	(n) กองกำลังรักษาความมั่นคงแห่งชาติ
NATO	(abbrev) องค์การสนธิสัญญาป้องกันแอตแลนติกเหนือ
nectec	(org) ศูนย์เทคโนโลยีอิเล็กทรอนิกส์และคอมพิวเตอร์แห่งชาติNational Electronics and Computer Technology Center
NEET	(n) คนวัยหนุ่มสาวที่อยู่เฉย ไม่กระตือรือร้นที่จะรับการศึกษาหรือทำงาน ย่อมาจากคำว่า 'Not in Education, Employment, or Training'
nematodes	(n) ไส้เดือนฝอย
neonate	(n) ทารก, เด็กแรกเกิด
nerd	(n jargon) nerd เป็นคำเรียกบุคคลที่มีระดับสติปัญญาสูงซึ่งมีความสนใจในการเรียนหรือ การศึกษาเรื่องบางเรื่องที่เขาสนใจคนภายนอกจะมองว่าพวกนี้เป็นพวกที่ไม่เข้าสังคมแต่จริงๆแล้วเป็นเพราะว่าพวกนี้ไม่สนใจและไม่เห็นความจำเป็นที่จะต้องเข้าต่างหาก (ความหมายโดยชาว Nerd) 
nerdy	(adj slang) (คน) ที่ฉลาดแต่เรื่องเรียนหรือทางวิชาการ แต่มักไม่ค่อยเก่งในการเข้าสังคม, Related: nerd, geek 
neurobiology	(n) ประสาทชีววิทยา
neurotransmitter	(n) สารที่ทำหน้าที่ส่งสัญญาณระหว่างเส้นประสาท
New Year's Day	(n) วันขึ้นปีใหม่
newbie	ผู้ไร้ประสบการณ์, มือใหม่,  ในแวดวงคนเล่นเกมคอมพิวเตอร์บางทีแผลงเป็น n00b
news	(n) ข่าว
NGV	(n abbrev ) ยานพาหนะที่ใช้ก๊าซธรรมชาติเป็นเชื้อเพลิง ย่อมาจาก Natural Gas Vehicles, ส่วนตัวก๊าซจะเรียกว่า Compressed Natural Gas หรือ CNG
nightmare death syndrome	(n) โรคไหลตาย
Nikkor	(name) ยี่ห้อเลนส์ของ Nikon
nimbo	ฝน, น้ำ (เป็น prefix ของเมฆที่สามารถก่อตัวให้เกิดฝนได้) เช่น The low, gray clouds that fill the skies are Nimbo stratus. 
no man's land	(n) เขตฉนวนระหว่างกองทัพสองฝ่าย เช่น No Man's Land on the western front in Europe, during the First World War. 
noise	จุดสีรบกวน, จุดสีไม่พึงประสงค์ที่เกิดขึ้นในภาพ
nominal diameter	(n) เส้นผ่านศูนย์กลางปรากฏ
nominee	(n) ตัวแทน เช่น ตัวแทนหุ้น เป็นผู้รับถือหุ้นให้บุคคลอื่นที่ไม่ต้องการจะเปิดเผยตัวตน
non-confidence motion	(n) ญัตติไม่ไว้วางใจ
non-Hodgkin lymphoma	(n) มะเร็งต่อมน้ำเหลืองชนิดแพร่กระจายเร็ว เช่น In multivariate analyses, the factors associated with a decreased risk for non-Hodgkin's lymphoma were allergy to plants, bee and wasp stings., Related: S. NHL, 
non-hodgkin's lymphoma	(n) มะเร็งต่อมน้ำเหลืองชนิดแพร่กระจายเร็ว 
nonfunctional	(adj) เสีย, ไม่ทำงาน, ใช้การไม่ได้
nonranking	(adj, n) ไม่ได้รับการจัดอันดับ
nonwoven	(n) ผ้าใยสังเคราะห์ เช่น The Trade organization for technical textiles and nonwovens industries focuses on promoting innovation, research and education., Related: A. woven, 
noob	(n collq) มือใหม่, คนที่ไม่ประสีประสา (อาจใช้ในความหมายเชิงดูหมิ่น), Related: S. rookie, newbie 
nosewheel	(n) ล้อหน้าของเครื่องบิน เช่น Left and right main gear wheel speed signals are processed by a circuit which is a model of aircraft rigid body motion to provide a synthesized nose wheel. 
nostalgic	(adj) ซึ่งรำลึกถึงความหลัง เช่น You will feel nostalgic because this screensaver shows your images in a way similar to how many documentaries and biographies show still images from a history or a person's past.
Not for all the tea in China!	เป็นสำนวนแปลว่า เอาอะไรทุกอย่างมาแลกก็ไม่ยอม เช่น Would you like to go to Antarctic? - No, not for all the tea in China.
notory republic	(n) ผู้รับรองเอกสารของรัฐ เช่น A notory republic in the US puts this big imprinted raised seal on a document, to "notarize" it.
novel	(n) นิยาย
NPL	(abbrev) หนี้เสีย (Non Performance Loan)
NPL	(abbrev) หนี้ที่ไม่ก่อให้เกิดรายได้ หรือหนี้เสีย ย่อมาจาก Non-Performing Loan, Related: Non-Performing Loan 
nstda	(org) สำนักงานพัฒนาวิทยาศาสตร์ และเทคโนโลยีแห่งชาติNational Science and Technology Development Agency
nucleate	(vi vt) ก่อตัวขึ้นเป็น nucleus, ก่อเป็นรูปร่างขึ้น
numbers	(n) หนังสือกันดารวิถี หนังสือเล่มที่ 4 ของพระคริสต์ธรรมคัมภีร์(พันธสัญญาเก่า), Related: R. The Old Testament 
numchucks	(n) กระบอง 2 ท่อนมีโซ่เชื่อม อาวุธแบบของบรูซลี, Related: S. nunchucks, chain sticks 
nunchucks	(n) กระบอง 2 ท่อนมีโซ่เชื่อม อาวุธแบบของบรูซลี, Related: S. numchucks, chain sticks 
nurse instructor	(n) อาจารย์พยาบาล, Related: S. nursing instructor 
nursing practice	(n) ปฏิบัติการพยาบาล
nut	(n) แหวนสกรู
nutrition fact	คุณค่าทางโภชนาการ
o.r.v.	(n) รถออฟโรด, Related: S. off road vehicle, 
of course	(adv) อย่างแน่นอน
off the shelf	(adj) มีจำหน่ายทั่วไป ไม่ต้องพัฒนาประดิษฐ์ใหม่ด้วยตนเอง
Office of the Council of State	(n org) สำนักงานคณะกรรมการกฤษฎีกา (สถาบันที่ปรึกษากฎหมายของรัฐ)ดูข้อมูลเพิ่มเติม <a href=http://www.krisdika.go.th/>http://www.krisdika.go.th/</a>
offshoring	(n) การย้ายฐานการผลิตไปต่างประเทศ, การตั้งศูนย์บริการในต่างประเทศ เช่น Semiconductor design is a frequently-cited example of the new wave of offshoring and foreign-outsourcing of service sector jobs.
oil cake	(n jargon) กากทะลายปาล์มที่เกิดขึ้นหลังจากการหีบน้ำมันปาล์มแล้ว, กากของเมล็ดฝ้ายที่ผ่านการบีบเอาน้ำมันออกไปแล้ว
old	(adj) เก่า
on a budget	(phrase) ต้องประหยัด เช่น If you're on a budget, candles could be a good gift idea.
on the breadline	ในสถานการณ์ที่ยากจนมาก (สำนวนนี้มีที่มาจากการเข้าแถวรอรับขนมปังจากรัฐบาลในสมัยก่อน) เช่น She has been forced to live on the breadline for failingto sign Child Support Agency forms.
on the right track	เป็นสำนวน แปลว่า มาถูกทางแล้ว, อยู่บนเส้นทางที่ถูกต้อง 
once in a lifetime	(phrase) ครั้งหนึ่งในชีวิต เช่น Don't miss it because it's your once in a lifetime opportunity.
order of canada	(n) เครื่องราชอิสริยาภรณ์ของแคนาดา เช่น If the advisory council decides that Black should lose his Order of Canada, he will first be given an opportunity to give it up voluntarily.
ordinary partnership	(n) ห้างหุ้นส่วนสามัญ, Related: R. partnership, limited partnership 
orthogonal	(adj) ตั้งฉากกัน
osteoblast	(n) เซลสร้างกระดูก
osteoblastoma	(n) เนื้องอกของกระดูกชนิดหนึ่ง ไม่ใช่มะเร็ง มักเกิดที่ กระดูกแขนขาหรือกระดูกสันหลัง ทำให้เกิดอาการปวด บวม รักษาโดยการผ่าตัด
out of question	(phrase) เป็นไปไม่ได้, Related: S. impossible, 
outercourse	(n) เพศสัมพันธ์แบบไม่สอดใส่, Related: S.non-penetrative sexA. intercourse, 
outgas	(vi vt) กำจัดแก๊สออกจากระบบโดยการลดความดันหรือให้ความร้อน
output VAT	(n) ภาษีขาย เช่น Businesses charge VAT on their sales. This is known as output VAT and the sales are referred to as outputs.
outraged	(adj) (ถูกทำให้)ช็อค, ตะลึง, เจ็บแค้น 
overmix	(vt) ใส่มากเกินไป เช่น Add the dry ingredients to the yogurt mixture and whisk just until combined, being careful not to overmix. 
overrated	(adj) ที่ถูกตีค่าสูงเกินจริง, ไม่เก่งจริง, ไม่ดีจริง เช่น It's completely overrated. The beach itself is a real disappointment. It has a rocky shelf and the water is murky at best.
overspeed	(n vi vt adj) ขับรถเร็วเกินกำหนด
overzealous	(adj) กระตือรือร้นมากเกินไป, แสดงความสนใจจนออกนอกหน้า, Related: S.too zealous 
oxidizing agent	(n) ตัวเติมออกซิเจน(ในปฺฏิกิริยาที่มีออกซิเจนเกี่ยวข้อง), สารในปฏิกิริยารีดอกซ์ที่ได้รับอิเล็กตรอนและตัวมันเองมีเลขออกซิเดชันลดลง, Related: A. reducing agent, 
p.s.	ปัจฉิมลิขิต
panty	(n) กางเกงชั้นในของผู้หญิง
paramedic	(n) หน่วยกู้ชีพ เช่น Ottawa citizens deserve optimum healthcare, so the Paramedic Service hires only the best paramedics and provides them with the most sophisticated programs.
parentage	(n) วงศ์ตระกูล, บรรพบุรุษ, เชื้อสาย เช่น This essay reviews the question whether there should be a general right of knowledge of one's genetic parentage. 
part-time	(n) นอกเวลา, ไม่เต็มเวลา เช่น part-time job งานนอกเวลา ที่ไม่ใช่งานหลัก
passersby	(n) (พหูพจน์ของ passerby) ผู้คนผ่านไปมาตามถนน, Related: S.  passers-by,R. passer-by, passerby 
passive-aggressive	(adj) อ่อนนอกแข็งใน เช่น What are the signatures of passive aggressive behavior and the folks who've learned to operate in this indirectly aggressive way?  
paste	(vt) วาง, แปะ  (ในโปรแกรมคอมพิวเตอร์ สามารถ เลือก text หรือ object อื่นๆ, ตัด (cut) ลบออก หรือ ทำสำเนา (copy) (ซึ่งจะนำเก็บเข้าในกระดานทด หรือ clipboard ไว้ด้วย) แล้ว วาง, แปะ (paste) ไปยังที่อื่นๆ เป็นการย้าย หรือทำสำเนา text, object นั้นๆ)
patently	(adv) อย่างชัดเจน อย่างเห็นๆ
pavilion	(n) ซุ้ม, ศาลา เช่น Visit a festive pavilion with an active marketplace, music and dining, and enjoy the delightful Gran Fiesta Tour., 
Payao	(n) จังหวัดพะเยา
payback period	(n) ระยะเวลาคืนทุน
payroll tax	(n) เงิน (ภาษี) ส่วนหนึ่งที่หักได้จากเงินเดือนหรือค่าจ้าง และอีกส่วนจากนายจ้าง รัฐบาลหรือส่วนการปกครองท้องถิ่นเก็บเงิน (ภาษี) ส่วนนี้เพื่อเป็นค่าสวัสดิการสังคมสงเคราะห์ต่างๆ เช่น ค่ารักษาพยาบาล (เมื่ออายุมาก) ค่าชดเชยหรือใช้จ่ายขณะว่างงาน เป็นต้น   
PDA	(n abbrev) ย่อมาจากคำว่า Personal Digital Assistantหมายถึงอุปกรณ์ผู้ช่วยดิจิตอลส่วนตัว มักมีขนาดเล็กพกพาสะดวก สามารถใช้บันทึกข้อมูลนัดหมาย หมายเลขโทรศัพท์ รับส่งข้อมูล หรือใช้เล่นเกมส์เพื่อความบันเทิงต่างๆได้, Related: Palm, Visor, Handheld, PocketPC 
pea pod	(n) ฝักถั่ว
Pediculus humanus capitis	(n) เหา, Related: S.human head louse 
pee pee	(slang vi) ฉี่, ปัสสาวะ เช่น  I asked my five-year-old son if he would pee-pee on my back., Related: S. urine, pee, pee-pee, urinate 
peephole	(n) ตาแมว หรือรูที่ประตูสำหรับส่องดูภายนอก
performance	(n) สมรรถนะ, สมรรถภาพ
perfume	(n) น้ำหอม
Perl	(n jargon name) ชื่อภาษาคอมพิวเตอร์ระดับสูงภาษาหนึ่ง เขียนโดยคุณ Larry Wall ในช่วงทศวรรษ 1980 เริ่มเป็นที่นิยมใช้ ในการประมวลผลข้อความ (Text) และใช้เขียน CGI program, หลังจากนั้นได้พัฒนาความสามารถในหลายๆ ด้าน จนสามารถใช้ในงานคอมพิวเตอร์ต่างๆ ได้อย่างหลากหลาย 
personal income tax	(n) ภาษีเงินได้บุคคลธรรมดา เช่น Personal Income Tax is due on all income earned by residents of the state and all income earned by nonresidents from state sources., Related: S.Individual Income Tax 
Phasin	(n) ซิ่นมัดหมี่
phenomenon	(n) |pl. phenomena| ปรากฏการณ์
phenotype	(n) ลักษณะที่แสดงออก หรือปรากฏให้เห็น เช่น ต้นสูง ต้นเตี้ย ขนสีดำ ขนสีน้ำตาล, Broader autistic phenotype describes individuals with autistic-like characteristics including social and communicative difficulties.
phone booth	(n) ตู้โทรศัพท์หยอดเหรียญ
PHP	(n) ภาษาคอมพิวเตอร์ภาษาหนึ่ง (เป็นแบบ intepreter) เป็นที่นิยมใช้กันมาก โดยเฉพาะในงานพัฒนาเว็บ แต่ก็สามารถใช้ในงานอื่นๆ ได้ รายละเอียดเพิ่มเติมดูได้ที่ http://www.php.net
phrase book	(n) หนังสือรวมวลี
phrase book	หนังสือรวมบทสนทนาหรือสำนวนภาษาต่างประเทศ
physiological	(adj) ซึ่งเกี่ยวกับกระบวนการทำงานของอวัยวะต่างๆ ในร่างกายของสิ่งมีชีวิต
physiology	(n) กระบวนการทำงานของอวัยวะต่างๆ ในร่างกายของสิ่งมีชีวิต
physiology	(n) ศาสตร์ที่ศึกษาถึงกระบวนการทำงานของอวัยวะต่างๆ ในร่างกายของสิ่งมีชีวิต, สรีรศาสตร์, สรีรวิทยา
piano quintet	(n) เป็นวงดนตรีที่ประกอบด้วย ไวโอลิน 2 เครื่อง วิโอลา 1 เครื่อง เชลโล 1 เครื่อง และ เปียโน 1 หลัง (หรือว่าเท่ากับวง String Quartet และ เปียโน 1 หลัง)
picket sign	(n) ป้ายประท้วง เช่น The strikers carried picket signs prepared by the Unions.
pied	(adj) มีสีสันหลากหลาย, มีสีฉูดฉาด, Related: S. colourful, 
pink slip	(n slang) ซองขาว, จดหมายไล่ออกจากงาน เช่น Do not retreat into a shell if you have received a pink slip. The new economy has evolved rather unique ways of coping with job loss.
pipelining	(n) เทคนิคการประมวลผลคำสั่งของคอมพิวเตอร์แบบคู่ขนานกันไป
pithy	(adj) มีสาระ เช่น For many years I have collected quips, quotes, and pithy sayings. 
placebo	(n) ยาที่บังเกิดผลทางจิตใจแต่ไม่มีฤทธิ์รักษาโรค
planned re-enactment	(n phrase) แผนประกอบคำรับสารภาพ
planned re-enactment	(n phrase) แผนประกอบคำรับสารภาพ เช่น One year a planned re-enactment was canceled because a student died in a car crash a few days before the event was to happen.
plant breeders' rights	(n) สิทธิของผู้ปรับปรุงพันธุ์ ย่อว่า PBR
plantain	(n) กล้วยกล้าย, กล้าย พบและใช้รับประทานมากในทวีปแอฟริกา เช่น How to cook plantain is a matter of choice. You can cook plantain fried, boiled or baked.
plasma membrane	(n) เยื่อหุ้มเซลล์, Related: S. cell membrane, 
plaster figure	(n) รูปหล่อปูนปลาสเตอร์
plasticine	(n) ดินน้ำมัน เช่น Plasticine is loved for its soft, malleable and non-hardening characteristics, it can be used again and again. 
